,date,team1,team1_score,team2,team2_score,winner,map
0,2021-12-16 10:00,1620 Kings,16,8Ballers,7,1620 Kings,Dust2
1,2021-12-15 10:00,Paradox,16,1620 Kings,7,Paradox,Nuke
2,2022-01-19 16:30,1shot,7,Astralis Talent,16,Astralis Talent,Vertigo
3,2022-01-22 13:10,1shot,16,D13,9,1shot,Nuke
4,2022-01-16 19:15,DBL PONEY,16,1shot,8,DBL PONEY,Vertigo
5,2021-12-17 19:00,Into the Breach,12,1shot,16,1shot,Nuke
6,2022-01-16 16:00,1shot,16,MONKE,14,1shot,Vertigo
7,2021-12-16 19:00,Nemiga,19,1shot,22,1shot,Nuke
8,2021-12-18 19:15,SAW,16,1shot,9,SAW,Ancient
9,2021-12-18 19:15,SAW,14,1shot,16,1shot,Dust2
10,2022-01-23 10:00,1shot,17,SINNERS,19,SINNERS,Inferno
11,2022-01-24 18:00,1WIN,7,Endpoint,16,Endpoint,Mirage
12,2021-12-16 19:00,1WIN,10,Entropiq,16,Entropiq,Ancient
13,2021-12-16 19:00,1WIN,14,Entropiq,16,Entropiq,Mirage
14,2022-01-27 09:00,Eternal Fire,25,1WIN,28,1WIN,Vertigo
15,2021-12-15 19:00,GamerLegion,16,1WIN,11,GamerLegion,Overpass
16,2022-01-25 13:15,HEET,16,1WIN,10,HEET,Vertigo
17,2022-01-26 19:00,1WIN,16,Into the Breach,13,1WIN,Ancient
18,2022-01-24 10:00,Los Reyes,9,1WIN,16,1WIN,Ancient
19,2022-01-25 19:00,1WIN,12,Nemiga,16,Nemiga,Vertigo
20,2022-02-01 19:00,1WIN,19,Nemiga,17,1WIN,Vertigo
21,2022-01-25 09:00,1WIN,4,SAW,16,SAW,Ancient
22,2022-01-25 09:00,1WIN,16,SAW,9,1WIN,Nuke
23,2022-01-26 12:00,Sprout,19,1WIN,17,Sprout,Overpass
24,2022-01-16 19:00,equipa,14,4750mix,16,4750mix,Nuke
25,2022-01-16 19:00,equipa,16,4750mix,9,equipa,Overpass
26,2022-01-30 19:40,Galaxy Racer fe,16,4750mix,3,Galaxy Racer fe,Ancient
27,2022-01-20 13:35,KOVA,19,4glory,17,KOVA,Nuke
28,2022-01-20 13:35,KOVA,22,4glory,20,KOVA,Ancient
29,2022-01-18 15:00,Dignitas,16,777,14,Dignitas,Mirage
30,2022-01-17 16:50,Enterprise,16,777,10,Enterprise,Overpass
31,2022-01-31 15:00,777,16,Enterprise,3,777,Overpass
32,2022-01-24 15:00,777,14,Finest,16,Finest,Mirage
33,2022-01-22 19:00,777,23,Wisla Krakow,25,Wisla Krakow,Mirage
34,2021-12-16 10:00,1620 Kings,16,8Ballers,13,1620 Kings,Nuke
35,2021-12-15 10:00,8Ballers,4,ORDER,16,ORDER,Mirage
36,2022-01-27 18:00,ECSTATIC,11,AGF,16,AGF,Vertigo
37,2022-01-27 18:00,ECSTATIC,19,AGF,16,ECSTATIC,Inferno
38,2022-01-17 18:00,Entropiq,12,AGF,16,AGF,Ancient
39,2021-12-19 11:30,AGO,9,Anonymo,16,Anonymo,Vertigo
40,2022-01-25 15:00,AGO,14,fnatic Rising,16,fnatic Rising,Ancient
41,2022-01-20 19:00,AGO,9,Savage,16,Savage,Ancient
42,2022-01-24 19:00,AGO,4,Wisla Krakow,16,Wisla Krakow,Nuke
43,2022-01-23 17:30,InControl,16,Alex Rider,9,InControl,Vertigo
44,2022-01-23 17:30,InControl,16,Alex Rider,14,InControl,Overpass
45,2022-01-23 20:20,all aim no name,16,Fragging for Jason,6,all aim no name,Mirage
46,2022-01-24 01:10,all aim no name,4,InControl,16,InControl,Vertigo
47,2022-01-24 01:10,all aim no name,11,InControl,16,InControl,Mirage
48,2022-01-23 17:30,RIP Kobe,8,all aim no name,16,all aim no name,Mirage
49,2022-01-17 10:00,AVE,16,ALTERNATE aTTaX,8,AVE,Dust2
50,2022-01-07 14:35,Ambush,16,Exalty,11,Ambush,Inferno
51,2022-01-07 20:30,Ambush,16,FTW,1,Ambush,Inferno
52,2022-01-09 20:40,FTW,16,Ambush,7,FTW,Nuke
53,2022-01-09 16:35,Ambush,11,GameAgents,16,GameAgents,Ancient
54,2022-01-19 10:00,Nexus,16,Ambush,9,Nexus,Dust2
55,2022-01-19 10:00,Nexus,16,Ambush,7,Nexus,Nuke
56,2021-12-19 11:30,AGO,8,Anonymo,16,Anonymo,Inferno
57,2021-12-19 17:30,Anonymo,16,UNGENTIUM,5,Anonymo,Overpass
58,2022-01-19 13:35,ex-Coalesce,13,Apeks Rebels,16,Apeks Rebels,Ancient
59,2022-01-19 13:35,ex-Coalesce,16,Apeks Rebels,4,ex-Coalesce,Overpass
60,2022-01-24 12:00,BLINK,13,Apeks,16,Apeks,Mirage
61,2022-01-19 15:00,Apeks,10,EC Kyiv,16,EC Kyiv,Inferno
62,2022-01-19 15:00,Apeks,9,EC Kyiv,16,EC Kyiv,Vertigo
63,2022-01-26 18:00,Apeks,16,Endpoint,13,Apeks,Mirage
64,2022-01-26 18:00,Apeks,16,Endpoint,5,Apeks,Vertigo
65,2022-01-31 12:00,Apeks,16,Endpoint,4,Apeks,Mirage
66,2022-02-01 15:55,fnatic,13,Apeks,16,Apeks,Inferno
67,2022-01-17 16:50,GamerLegion,12,Apeks,16,Apeks,Overpass
68,2022-01-21 12:20,Apeks,16,GMT,8,Apeks,Inferno
69,2022-01-18 09:00,Apeks,16,MASONIC,9,Apeks,Vertigo
70,2022-01-20 12:35,Apeks,16,OneTap,4,Apeks,Mirage
71,2022-01-25 15:00,SKADE,16,Apeks,10,SKADE,Inferno
72,2022-01-25 15:00,SKADE,12,Apeks,16,Apeks,Overpass
73,2022-02-02 15:00,Apeks,16,Wisla Krakow,11,Apeks,Nuke
74,2022-02-02 15:00,Apeks,16,Wisla Krakow,9,Apeks,Overpass
75,2022-01-19 16:30,1shot,16,Astralis Talent,12,1shot,Nuke
76,2022-01-19 16:30,1shot,16,Astralis Talent,11,1shot,Mirage
77,2022-01-07 18:15,BIG Academy,16,Astralis Talent,8,BIG Academy,Vertigo
78,2022-01-09 17:00,Astralis Talent,16,fnatic Rising,6,Astralis Talent,Vertigo
79,2022-01-09 17:00,Astralis Talent,16,fnatic Rising,6,Astralis Talent,Vertigo
80,2022-01-14 16:00,Astralis Talent,1,fnatic Rising,16,fnatic Rising,Ancient
81,2022-01-05 19:10,NAVI Junior,16,Astralis Talent,12,NAVI Junior,Vertigo
82,2022-01-15 16:00,NAVI Junior,10,Astralis Talent,16,Astralis Talent,Mirage
83,2022-01-03 17:00,Young Ninjas,16,Astralis Talent,8,Young Ninjas,Vertigo
84,2022-01-16 16:00,Young Ninjas,12,Astralis Talent,16,Astralis Talent,Overpass
85,2022-01-22 15:00,Astralis,16,Entropiq,13,Astralis,Ancient
86,2022-01-20 15:00,Astralis,16,fnatic,2,Astralis,Mirage
87,2022-01-20 15:00,Astralis,19,fnatic,16,Astralis,Inferno
88,2022-01-18 15:00,Astralis,19,K23,22,K23,Mirage
89,2022-01-18 15:00,Astralis,19,K23,22,K23,Mirage
90,2021-12-17 21:00,Astralis,13,Liquid,16,Liquid,Mirage
91,2022-01-29 19:15,Natus Vincere,17,Astralis,19,Astralis,Mirage
92,2021-12-16 13:30,NIP,8,Astralis,16,Astralis,Inferno
93,2021-12-15 17:30,Vitality,16,Astralis,6,Vitality,Mirage
94,2022-02-02 02:00,ATK,8,Bad News Bears,16,Bad News Bears,Nuke
95,2022-01-30 00:55,ChocoCheck,16,ATK,9,ChocoCheck,Inferno
96,2022-01-23 22:10,Party Astronauts,16,ATK,11,Party Astronauts,Overpass
97,2022-01-22 22:50,ATK,11,RBG,16,RBG,Overpass
98,2022-01-22 22:50,ATK,16,RBG,11,ATK,Nuke
99,2022-01-27 02:00,ATK,16,Third Impact,5,ATK,Inferno
100,2022-01-27 02:00,ATK,28,Third Impact,25,ATK,Mirage
101,2022-01-30 20:00,AVANGAR,16,Enterprise,19,Enterprise,Overpass
102,2022-01-30 16:00,Tricked,14,AVANGAR,16,AVANGAR,Vertigo
103,2022-01-17 10:00,AVE,16,ALTERNATE aTTaX,4,AVE,Nuke
104,2022-01-21 19:00,AVE,16,ex-Coalesce,12,AVE,Nuke
105,2022-01-24 13:00,AVE,16,HEET,19,HEET,Dust2
106,2022-01-08 18:05,EC Kyiv,26,B8,28,B8,Mirage
107,2022-01-21 16:05,B8,7,Entropiq Prague,16,Entropiq Prague,Dust2
108,2021-12-25 15:00,B8,16,GUESS,6,B8,Mirage
109,2021-12-26 18:00,B8,17,IKIGAI,19,IKIGAI,Ancient
110,2021-12-26 18:00,B8,16,IKIGAI,13,B8,Mirage
111,2022-01-18 13:00,OFFSET,5,B8,16,B8,Overpass
112,2022-01-08 12:10,B8,16,okura,4,B8,Nuke
113,2022-01-08 12:10,B8,16,okura,3,B8,Ancient
114,2022-01-16 15:05,B8,16,Run or Die,2,B8,Vertigo
115,2022-01-16 15:05,B8,16,Run or Die,7,B8,Overpass
116,2022-01-16 15:05,B8,9,Run or Die,16,Run or Die,Mirage
117,2022-01-15 15:10,B8,16,Run or Die,9,B8,Dust2
118,2022-01-16 15:05,B8,10,Run or Die,16,Run or Die,Dust2
119,2022-02-02 02:00,ATK,16,Bad News Bears,7,ATK,Inferno
120,2022-01-02 19:00,BOOZOOMERS,16,Bad News Bears,11,BOOZOOMERS,Inferno
121,2022-01-02 19:00,BOOZOOMERS,7,Bad News Bears,16,Bad News Bears,Mirage
122,2022-01-03 02:45,Bad News Bears,19,ChocoCheck,17,Bad News Bears,Mirage
123,2021-12-15 02:00,Bad News Bears,6,Extra Salt,16,Extra Salt,Ancient
124,2021-12-17 02:00,RBG,16,Bad News Bears,11,RBG,Overpass
125,2021-12-17 02:00,RBG,16,Bad News Bears,13,RBG,Inferno
126,2022-01-02 22:50,Strife,6,Bad News Bears,16,Bad News Bears,Inferno
127,2021-12-16 02:00,Triumph,15,Bad News Bears,19,Bad News Bears,Ancient
128,2022-01-07 17:00,Astralis Talent,13,BIG Academy,16,BIG Academy,Vertigo
