,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
0,1620 Kings,cookie,25,7,9,82.6%,123.7,1.90,1.90,25,123.7,7,14,
1,Paradox,chelleos,21,5,16,78.3%,89.9,1.43,1.43,21,,,8,6
2,1shot,Synyx,18,0,20,52.2%,85.0,0.89,,,,,,
3,1shot,faydett,24,5,13,88.0%,102.5,1.51,1.51,,,,,
4,DBL PONEY,afro,26,3,13,75.0%,96.1,1.55,1.55,26,,,11,
5,Into the Breach,CYPHER,33,3,20,75.0%,123.6,1.79,1.79,33,123.6,,,10
6,1shot,GreK,28,2,18,76.7%,93.0,1.44,,,,,,
7,Nemiga,boX,40,2,28,70.7%,105.0,1.52,1.52,40,105.0,,,14
8,SAW,arki,24,5,14,80.0%,94.1,1.53,1.53,24,94.1,,,
9,SAW,MUTiRiS,24,11,21,80.0%,105.0,1.41,1.41,,105.0,,,6
10,1shot,FpSSS,28,9,27,61.1%,85.0,1.17,,,,,,8
11,1WIN,flamie,14,5,17,65.2%,77.2,0.97,,,,,,
12,1WIN,TRAVIS,19,5,18,61.5%,83.1,1.08,,,,5,,
13,1WIN,glowiing,27,2,19,73.3%,77.3,1.22,,27,,,,
14,Eternal Fire,Calyx,38,8,37,67.9%,78.3,1.08,,,,,,9
15,GamerLegion,eraa,23,5,12,63.0%,82.7,1.44,1.44,,,,19,6
16,HEET,bodyy,27,6,14,76.9%,105.3,1.63,1.63,27,105.3,,,
17,1WIN,TRAVIS,31,4,21,72.4%,103.8,1.49,1.49,31,103.8,,,6
18,Los Reyes,Patti,17,3,18,56.0%,82.6,1.05,,,,,,
19,1WIN,glowiing,26,7,20,71.4%,105.6,1.32,,,105.6,,,
20,1WIN,deko,30,5,21,80.6%,76.6,1.24,,,,,,
21,1WIN,glowiing,12,6,16,65.0%,85.3,0.89,,,,6,,
22,1WIN,glowiing,20,5,15,76.0%,100.4,1.36,,,,5,,
23,Sprout,Marix,31,3,28,69.4%,83.7,1.11,,,,,,6
24,equipa,JennyR,27,7,23,70.0%,93.9,1.26,1.26,27,93.9,,,6
25,equipa,KILLITAST,26,7,17,76.0%,114.6,1.58,1.58,26,114.6,,13,7
26,Galaxy Racer fe,twenty3,24,4,7,84.2%,107.3,2.11,2.11,24,,,,6
27,KOVA,uli,29,4,24,77.8%,84.8,1.20,,,,,,
28,KOVA,Twixie,42,8,29,73.8%,102.8,1.43,,42,,,,
29,Dignitas,hallzerk,23,3,19,73.3%,76.5,1.26,,,,,17,8
30,Enterprise,The eLiVe,24,3,17,80.8%,97.5,1.43,,,,,,
31,777,H4RR3,21,7,9,94.7%,118.5,1.85,1.85,21,118.5,6,,
32,777,Ruyter,26,6,22,76.7%,96.3,1.28,,,96.3,,,
33,777,H4RR3,40,6,36,79.2%,93.9,1.21,,,,,,
34,1620 Kings,cookie,34,2,17,79.3%,110.4,1.68,1.68,34,110.4,,15,
35,8Ballers,Kobe,13,4,15,60.0%,72.5,0.91,,,,3,,
36,ECSTATIC,Daffu,28,3,22,74.1%,96.8,1.24,,,,,,
37,ECSTATIC,WolfY,31,4,18,82.9%,79.5,1.42,1.42,31,,,16,6
38,Entropiq,El1an,27,1,18,75.0%,89.0,1.35,,,,,13,5
39,AGO,mhL,22,8,15,84.0%,86.8,1.30,,,86.8,,15,
40,AGO,kRaSnaL,25,4,23,83.3%,76.2,1.15,,25,,,,
41,AGO,leman,19,4,18,76.0%,93.1,1.17,,,,,,
42,AGO,mwlky,17,1,16,65.0%,84.0,1.14,,,,,9,6
43,InControl,spek,22,8,19,76.0%,102.7,1.49,1.49,,102.7,8,,7
44,InControl,arcade,23,11,24,70.0%,107.1,1.29,,,,,,6
45,all aim no name,Cyrix,18,2,14,81.8%,87.1,1.28,,,,,8,
46,all aim no name,Slugy,18,3,18,65.0%,104.2,1.22,,,,,,
47,all aim no name,Cyrix,28,3,21,70.4%,95.1,1.33,1.33,28,95.1,,13,
48,RIP Kobe,nero,21,2,20,79.2%,90.1,1.30,,,,,10,6
49,AVE,Porya,21,5,13,79.2%,100.0,1.51,1.51,21,100.0,5,,
50,Ambush,wasiNk,23,10,20,74.1%,107.1,1.41,1.41,,107.1,,,6
51,Ambush,SoneSb,24,3,11,100.0%,135.0,2.09,2.09,24,135.0,,,
52,FTW,ewjerkz,21,2,11,69.6%,102.6,1.51,1.51,21,102.6,,,
53,Ambush,SIXER,21,4,15,81.5%,81.9,1.22,,,,,16,
54,Nexus,XELLOW,21,7,14,68.0%,87.9,1.40,1.40,,,4,,5
55,Nexus,lauNX,22,2,13,73.9%,101.1,1.55,1.55,22,101.1,,,
56,AGO,Grashog,16,3,16,70.8%,71.8,1.04,,,,,,
57,Anonymo,innocent,20,8,12,100.0%,106.1,1.55,1.55,,106.1,,,
58,ex-Coalesce,Girafffe,22,4,19,75.9%,84.1,1.09,,,,,,
59,ex-Coalesce,Ping,17,1,12,85.0%,75.3,1.41,1.41,,,,,5
60,BLINK,juanflatroo,30,1,23,65.5%,100.8,1.43,,,,,,10
61,Apeks,STYKO,17,5,20,73.1%,86.8,1.00,,,,,,
62,Apeks,STYKO,14,6,19,76.0%,83.0,1.00,,,,,,
63,Apeks,nawwk,30,2,18,65.5%,99.9,1.39,1.39,30,99.9,,17,
64,Apeks,chawzyyy,19,9,10,90.5%,122.2,1.74,1.74,,122.2,9,,5
65,Apeks,jkaem,25,2,11,90.0%,116.8,1.82,1.82,25,116.8,,,
66,fnatic,Brollan,20,3,17,82.8%,88.5,1.33,1.33,20,88.5,,,5
67,GamerLegion,iM,20,3,17,71.4%,80.1,1.14,,,,,,
68,Apeks,jkaem,23,5,14,83.3%,112.5,1.57,1.57,23,112.5,,,
69,Apeks,STYKO,21,5,13,68.0%,90.4,1.40,1.40,,,,,5
70,Apeks,nawwk,22,2,8,75.0%,105.0,1.78,1.78,22,105.0,,14,5
71,SKADE,dennyslaw,20,2,12,76.9%,72.7,1.36,1.36,20,,,14,6
72,SKADE,dennyslaw,23,6,14,78.6%,88.3,1.50,1.50,,,,12,
73,Apeks,nawwk,27,5,14,74.1%,95.4,1.53,1.53,27,,,19,
74,Apeks,AcilioN,28,9,12,76.0%,123.9,1.85,1.85,28,123.9,6,,
75,1shot,FpSSS,25,4,16,85.7%,97.3,1.58,1.58,,97.3,,15,6
76,1shot,Get_Jeka,25,7,13,85.2%,108.4,1.67,1.67,,108.4,7,,
77,BIG Academy,prosus,23,8,18,79.2%,119.4,1.58,1.58,23,119.4,8,,
78,Astralis Talent,Altekz,22,6,13,90.9%,107.5,1.74,1.74,22,107.5,,,4
79,Astralis Talent,Altekz,22,6,13,90.9%,107.5,1.74,1.74,22,107.5,,,4
80,Astralis Talent,vigg0,14,4,16,76.5%,96.4,1.07,,,,,,
81,NAVI Junior,headtr1ck,30,5,14,82.1%,104.8,1.62,1.62,30,104.8,,,
82,NAVI Junior,headtr1ck,22,5,19,76.9%,99.4,1.21,,,,,,
83,Young Ninjas,phzy,20,4,12,79.2%,81.9,1.45,1.45,,,,,
84,Young Ninjas,Sapec,19,5,20,78.6%,85.9,1.18,,,,,,
85,Astralis,gla1ve,28,5,17,72.4%,108.6,1.46,1.46,28,108.6,,,
86,Astralis,gla1ve,23,7,8,88.9%,123.2,1.94,1.94,23,123.2,,,
87,Astralis,gla1ve,27,9,22,77.1%,104.4,1.32,1.32,,104.4,,,
88,Astralis,blameF,33,7,21,73.2%,82.7,1.27,,,,,,
89,Astralis,blameF,33,7,21,73.2%,82.7,1.27,,,,,,
90,Astralis,k0nfig,24,4,20,86.2%,88.2,1.33,1.33,,,,,7
91,Natus Vincere,s1mple,28,5,23,69.4%,76.9,1.13,,,,,22,
92,NIP,hampus,20,4,17,50.0%,85.5,1.22,,,,,,
93,Vitality,ZywOo,29,5,8,90.9%,138.4,2.25,2.25,29,138.4,5,,
94,ATK,truth,18,3,18,70.8%,77.5,1.03,,,,,,
95,ChocoCheck,cJ,19,7,15,72.0%,92.4,1.38,1.38,,,,,5
96,Party Astronauts,PwnAlone,27,1,16,81.5%,88.1,1.43,1.43,27,,,11,
97,ATK,motm,21,1,21,55.6%,73.6,0.98,,,,,,
98,ATK,MisteM,32,5,15,77.8%,114.2,1.75,1.75,32,114.2,,,
99,ATK,b0denmaster,19,6,7,90.5%,96.3,1.74,1.74,,,,14,6
100,ATK,b0denmaster,51,5,32,69.8%,95.5,1.43,1.43,51,95.5,,45,
101,AVANGAR,FinigaN,31,4,23,68.6%,104.0,1.33,1.33,,104.0,,,
